,ngram,qty
0,por_mas_que,6
1,mas_que_el,1
2,que_el_jinete,1
3,el_jinete_trataba,1
4,jinete_trataba_de,1
5,trataba_de_sofrenarlo,1
6,de_sofrenarlo_agarrandose,1
7,sofrenarlo_agarrandose_con,1
8,agarrandose_con_todas,1
9,con_todas_sus,2
10,todas_sus_fuerzas,1
11,sus_fuerzas_a,1
12,fuerzas_a_la,1
13,a_la_unica,1
14,la_unica_rienda,1
15,unica_rienda_de,1
16,rienda_de_cordel,1
17,de_cordel_y,1
18,cordel_y_susurrando,1
19,y_susurrando_palabritas,1
20,susurrando_palabritas_calmantes,1
21,palabritas_calmantes_y,1
22,calmantes_y_mansas,1
23,y_mansas_el,1
24,mansas_el_peludo,1
25,el_peludo_rocin,1
26,peludo_rocin_seguia,1
27,rocin_seguia_empenandose,1
28,seguia_empenandose_en,1
29,empenandose_en_bajar,1
30,en_bajar_la,1
31,bajar_la_cuesta,1
32,la_cuesta_a,1
33,cuesta_a_un,1
34,a_un_trote,1
35,un_trote_cochinero,1
36,trote_cochinero_que,1
37,cochinero_que_descuadernaba,1
38,que_descuadernaba_los,1
39,descuadernaba_los_intestinos,1
40,los_intestinos_cuando,1
41,intestinos_cuando_no,1
42,cuando_no_a,1
43,no_a_trancos,1
44,a_trancos_desigualisimos,1
45,trancos_desigualisimos_de,1
46,desigualisimos_de_loco,1
47,de_loco_galope,1
48,loco_galope_y,1
49,galope_y_era,1
50,y_era_pendiente,1
51,era_pendiente_de,1
52,pendiente_de_veras,1
53,de_veras_aquel,1
54,veras_aquel_repecho,1
55,aquel_repecho_del,1
56,repecho_del_camino,1
57,del_camino_real,1
58,camino_real_de,1
59,real_de_santiago,1
60,de_santiago_a,1
61,santiago_a_orense,1
62,a_orense_en,1
63,orense_en_terminos,1
64,en_terminos_que,1
65,terminos_que_los,1
66,que_los_viandantes,1
67,los_viandantes_al,1
68,viandantes_al_pasarlo,1
69,al_pasarlo_sacudian,1
70,pasarlo_sacudian_la,1
71,sacudian_la_cabeza,1
72,la_cabeza_murmurando,1
73,cabeza_murmurando_que,1
74,murmurando_que_tenia,1
75,que_tenia_bastante,1
76,tenia_bastante_mas,1
77,bastante_mas_declive,1
78,mas_declive_del,1
79,declive_del_no,1
80,del_no_se,1
81,no_se_cuantos,1
82,se_cuantos_por,1
83,cuantos_por_ciento,1
84,por_ciento_marcado,1
85,ciento_marcado_por,1
86,marcado_por_la,1
87,por_la_ley,1
88,la_ley_y,1
89,ley_y_que,1
90,y_que_sin,1
91,que_sin_duda,2
92,sin_duda_al,1
93,duda_al_llevar,1
94,al_llevar_la,1
95,llevar_la_carretera,1
96,la_carretera_en,2
97,carretera_en_semejante,1
98,en_semejante_direccion,1
99,semejante_direccion_ya,1
100,direccion_ya_sabrian,1
101,ya_sabrian_los,1
102,sabrian_los_ingenieros,1
103,los_ingenieros_lo,1
104,ingenieros_lo_que,1
105,lo_que_se,8
106,que_se_pescaban,1
107,se_pescaban_y,1
108,pescaban_y_alguna,1
109,y_alguna_quinta,1
110,alguna_quinta_de,1
111,quinta_de_personaje,1
112,de_personaje_politico,1
113,personaje_politico_alguna,1
114,politico_alguna_influencia,1
115,alguna_influencia_electoral,1
116,influencia_electoral_de,1
117,electoral_de_grueso,1
118,de_grueso_calibre,1
119,grueso_calibre_debia,1
120,calibre_debia_andar,1
121,debia_andar_cercaiba,1
122,andar_cercaiba_el,1
123,cercaiba_el_jinete,1
124,el_jinete_colorado,1
125,jinete_colorado_no,1
126,colorado_no_como,1
127,no_como_un,1
128,como_un_pimiento,1
129,un_pimiento_sino,1
130,pimiento_sino_como,1
131,sino_como_una,1
132,como_una_fresa,1
133,una_fresa_encendimiento,1
134,fresa_encendimiento_propio,1
135,encendimiento_propio_de,1
136,propio_de_personas,1
137,de_personas_linfaticas,1
138,personas_linfaticas_por,1
139,linfaticas_por_ser,1
140,por_ser_joven,1
141,ser_joven_y,1
142,joven_y_de,1
143,y_de_miembros,1
144,de_miembros_delicados,1
145,miembros_delicados_y,1
146,delicados_y_por,1
147,y_por_no,1
148,por_no_tener,1
149,no_tener_pelo,1
150,tener_pelo_de,1
151,pelo_de_barba,1
152,de_barba_pareciera,1
153,barba_pareciera_un,1
154,pareciera_un_nino,1
155,un_nino_a,1
156,nino_a_no,1
157,a_no_desmentir,1
158,no_desmentir_la,1
159,desmentir_la_presuncion,1
160,la_presuncion_sus,1
161,presuncion_sus_trazas,1
162,sus_trazas_sacerdotales,1
163,trazas_sacerdotales_aunque,1
164,sacerdotales_aunque_cubierto,1
165,aunque_cubierto_de,1
166,cubierto_de_amarillo,1
167,de_amarillo_polvo,1
168,amarillo_polvo_que,1
169,polvo_que_levantaba,1
170,que_levantaba_el,1
171,levantaba_el_trote,1
172,el_trote_del,1
173,trote_del_jaco,1
174,del_jaco_bien,1
175,jaco_bien_se,1
176,bien_se_advertia,1
177,se_advertia_que,2
178,advertia_que_el,1
179,que_el_traje,1
180,el_traje_del,1
181,traje_del_mozo,1
182,del_mozo_era,1
183,mozo_era_de,1
184,era_de_pano,1
185,de_pano_negro,2
186,pano_negro_liso,1
187,negro_liso_cortado,1
188,liso_cortado_con,1
189,cortado_con_la,1
190,con_la_flojedad,1
191,la_flojedad_y,1
192,flojedad_y_poca,1
193,y_poca_gracia,1
194,poca_gracia_que,1
195,gracia_que_distingue,1
196,que_distingue_a,2
197,distingue_a_las,1
198,a_las_prendas,1
199,las_prendas_de,1
200,prendas_de_ropa,2
201,de_ropa_de,1
202,ropa_de_seglar,1
203,de_seglar_vestidas,1
204,seglar_vestidas_por,1
205,vestidas_por_clerigos,1
206,por_clerigos_los,1
207,clerigos_los_guantes,1
208,los_guantes_despellejados,1
209,guantes_despellejados_ya,1
210,despellejados_ya_por,1
211,ya_por_la,1
212,por_la_tosca,1
213,la_tosca_brida,1
214,tosca_brida_eran,1
215,brida_eran_asimismo,1
216,eran_asimismo_negros,1
217,asimismo_negros_y,1
218,negros_y_nuevecitos,1
219,y_nuevecitos_igual,1
220,nuevecitos_igual_que,1
221,igual_que_el,1
222,que_el_hongo,1
223,el_hongo_que,1
224,hongo_que_llevaba,1
